time,category,note,units
23:53,laundromat-work,camera mount cut,1.0
23:54,laundromat-work,camera mount and cam set,1.0
23:54,laundromat-work,recorded samples,1.0
23:54,laundromat-work,video sent Pittsburg,1.0
23:54,laundromat-work,raspberry pi setup,1.0
23:54,laundromat-work,dropbox door setup,1.0
23:55,laundromat-work,roi dryers,1.0
23:55,laundromat-work,breaker lock,1.0
