time,category,note,units
18:28,laundromat-work,door for top locker cut,1.0
18:28,laundromat-work,door for top locker setup,1.0
18:29,laundromat-work,door for top locker applied lock,1.0
19:32,laundromat-work,general cleaning,1.0
