time,category,note,units
23:46,ranch-work,loaded storage room,1.0
23:46,ranch-work,pictures for airbnb,1.0
23:46,ranch-work,post airbnb,2.0
23:47,laundromat-work,clean laundromat,1.0
23:47,fineanses,pay bills,1.0
23:53,surveillance-system,R2 sep13-16,1.0
23:58,surveillance-system,R1 sep14-17,1.0
